,press_date,press_name,ranking,title
169,2024. 9. 15. 일,시사저널,2,새 검찰총장 1호 처분은 '김건희 무혐의'? 추석 후 과제 산적
170,2024. 9. 15. 일,시사저널,3,"""급발진 사고 원인 찾을까""…서울 택시 155대 페달 블랙박스 장착"
171,2024. 9. 15. 일,시사저널,4,이재명-한동훈 '의료대란' 해결사 경쟁…尹은 경찰‧소방 방문 격려
172,2024. 9. 15. 일,시사저널,5,"""추석 연휴 음주 단속 예고했는데""…경찰 비웃는 음주운전 여전"
173,2024. 9. 15. 일,시사저널,6,"김건희 그림자?…추석 정국, 尹대통령 앞에 놓인 세 가지 난제"
174,2024. 9. 15. 일,시사저널,7,"종이·비닐‧플라스틱…北, 추석에도 '오물 풍선' 50여개 날려 보냈다"
175,2024. 9. 15. 일,시사저널,8,"한동훈, 文정부 겨냥해 ""北 우라늄 공개, 굴종외교가 만든 현실"""
176,2024. 9. 15. 일,시사저널,9,이재명 기각→이준석 합당→'?'…이번 '추석 밥상'엔 누가 오를까
177,2024. 9. 15. 일,시사저널,10,추석 연휴 둘째 날 전국 596만대 이동…'정오~오후 1시 정점'
178,2024. 9. 16. 월,KBS,1,“‘72개월’ 할부라더니 실제는 ‘12개월’”…“포인트 사용 코드 때문” [제보K]
179,2024. 9. 16. 월,KBS,2,‘의사 블랙리스트’ 또 업데이트…“경찰은 헛짓거리 그만”
180,2024. 9. 16. 월,KBS,3,양육 안 하고 돈도 뜯는 부모…‘구하라법’도 못 막아
181,2024. 9. 16. 월,KBS,4,추석 코앞인데…서울 역대 가장 늦은 폭염특보
182,2024. 9. 16. 월,KBS,5,기체 결함으로 출발 지연…‘드론 출현’ 17분 운항 중단
183,2024. 9. 16. 월,KBS,6,"광주서 손가락 절단된 환자, 수술 의료진 없어 전주로 이송"
184,2024. 9. 16. 월,KBS,7,"윤 대통령, 경찰관·소방대원 격려…“제복 입은 영웅들에게 정당한 보상”"
185,2024. 9. 16. 월,KBS,8,발 디딜 틈 없는 전통시장…추석 대목 맞아 ‘북적’
186,2024. 9. 16. 월,KBS,9,[뉴스9 날씨] 내일도 곳곳 소나기…서쪽은 폭염특보
187,2024. 9. 16. 월,KBS,10,“미국 유권자 56%가 트럼프 관세공약 지지…민주당 3분의 1도 찬성”
188,2024. 9. 16. 월,서울경제,1,"성심당, '대전 명물' 그대로 남을까…월세 4.4억→1.3억 '뚝'"
189,2024. 9. 16. 월,서울경제,2,‘75년만에 최강’ 태풍 접근에 中 상하이 비상
190,2024. 9. 16. 월,서울경제,3,‘오빠 사랑해’ 낙서테러에…네덜란드 출신 유튜버 “미친 사람들이…”
191,2024. 9. 16. 월,서울경제,4,"""기차표 못 구해 귀성도 포기했는데…"" 승차권 10장 중 4장은 '노쇼' 였다"
